name,keggId,formula,mass
H(+)~H+,C00080,H,1.007825
dihydrogen~H2~Hydrogen,C00282,H2,2.01565
methane,C01438,CH4,16.0313
NH3~NH4(+),C00014,H4N~NH3,17.026545
H2O~HO-~OH-~Water,C00001,H2O,18.01056
Ammonia~Ammonium~NH3~NH4+~NH4plus,C01342,H3N~NH4,18.03437
fluoride,C00742,F,18.9984
Na(+)~Sodium,C01330,Na,22.98977
Magnesium~Magnesium cation~Mg~Mg(2+)~Mg2+,C00305,Mg,23.98504
Hydrogen cyanide,C01326,CHN,27.010895
carbon monoxide(1+)~CO,C00237,CHO~CO,27.99491
Nitric oxide,C00533,NO,29.99798
Formaldehyde,C00067,CH2O,30.01056
methylammonium,C00218,CH6N,31.042195
S~Sulfur~Sulfur. precipitated,C00087,S,31.97207
dioxygen~O2~Oxygen~superoxide~Superoxide anion,C00007~C00704,O2,31.98982
Methanol,C00132,CH4O~CH4O1,32.02621
Hydrogen sulfide,C00283,H2S~HS,33.98772
H2O2~Hydrogen peroxide~Hydrogenperoxide~Oxydol,C00027,H2O2,34.00547
Chloride~Chloride ion~Cl(-)~Cl-~HCl~Hydrochloric acid~Hydrochloride~Hydrogen chloride,C00698,Cl,34.96885
NH4OH,C01358,NH5O,35.037105
K(+)~K+~Potassium,C00238,K,38.96371
Ca(2+)~Ca2+~Calcium~Calcium cation,C00076,Ca,39.96259
Cyanate,C01417,CHNO,43.005805
Carbon dioxide~CO(2)~CO2,C00011,CO2,43.98982
Nitrous oxide,C00887,N2O,44.00105
AALD~Acetaldehyde~Ethanal~oxirane,C00084~C06548,C2H4O,44.02621
formamide,C00488,CH3NO,45.021455
(CH3)2NH~Dimethylamine~dimethylaminium~ethylamine,C00543~C00797,C2H7N~C2H8N,45.057845
FORM~Formate~Formic acid~Methanoic acid,C00058,CH2O2~CHO2,46.00547
Ethanol,C00469,C2H6O,46.04186
Nitrite,C00088,HNO2~NO2,47.000715
acrylonitrile,C01998,C3H3N,53.026545
prop-2-ynal,C05985,C3H2O,54.01056
Manganese~Manganese cation~Mn(II)~Mn(III)~Mn2+,C00034,Mn,54.93805
Fe(2+)~Fe(II)~Fe(III)~Fe2+~fe3~Fe3+~Ferric ion~Ferrous ion~Iron(2+)~Iron(3+),C00023~C14818~C14819,Fe,55.93494
prop-2-yn-1-ol,C05986,C3H4O,56.02621
Ni2+~Nickel,C00291,Ni,57.93535
Propanal,C00479,C3H6O,58.04186
Co(2+)~Co2+~Cobalt~Cobalt ion,C00175,Co,58.9332
Thiocyanate,C01755,CHNS,58.982965
Aminoacetaldehyde~ammonioacetaldehyde,C06735,C2H5NO~C2H6NO,59.037105
trimethylamine,C00565,C3H9N,59.073495
ACET~Acetate~Acetic acid~Ethanoic acid~Glacial acetic acid~Glycolaldehyde~Hydroxyacetaldehyde,C00033~C00266,C2H3O2~C2H4O2,60.02112
Carbamide~Urea,C00086,CH4N2O,60.03235
propan-1-ol,C05979,C3H8O,60.05751
Bicarbonate~HCO3-,C00288,CH2O3~CHO3~HCO3,60.992555
Aminoformic acid~Carbamate~Carbamic acid,C01563,CH2NO2~CH3NO2,61.016365
